text,label,source,confidence
"Seven years later, a council of Russian bishops elected their own metropolitan, which amounted to a declaration of autocephaly by the Russian Church.",0,wikipedia,0.7
"The most publicized action was ""Freedom Pavlichenko"" (Ukrainian: Волю Павліченкам) in support of political prisoners father and son Pavlichenko.",0,wikipedia,0.7
"In Kyrgyzstan, Russian is a co-official language per article 5 of the Constitution of Kyrgyzstan.",0,wikipedia,0.7
"Starting on 17 May 2022, Russian forces began shelling Bakhmut, killing five people including a two-year-old child.",1,wikipedia,0.7
"An estimated 25 Wagner military personnel were killed in a drone strike in September 2020, although the Russian government denied any involvement.",1,wikipedia,0.9
The OSCE said that these breaches of the agreement would not cause the ceasefire to collapse.,1,wikipedia,0.7
The attack was suggested to be a Russian attempt to cut off Kyiv's electricity supply.,1,wikipedia,0.7
"Staff with links to the pre-revolutionary aristocracy were sent into internal exile as socially dangerous persons, with a few going to gulag labour camps.",0,wikipedia,0.7
The leadership of Dynamo did not dare to reorganize the well-established club and the main title contender in the middle of a playing season.,0,wikipedia,0.7
"Professional storytelling existed, with bards of druzhiny like Boyan playing the gusli and wandering skomorokhi.",0,wikipedia,0.7
"Pro-Russian media claimed that the renewed offensive had breached defense lines to the east and southeast, although these claims were denied by Ukrainian officials.",1,wikipedia,0.7
"The discovery of Russian war crimes committed during the offensive, particularly in Bucha, led to additional rounds of sanctions against Russia and pledges of further military aid to Ukraine.",1,wikipedia,0.9
"On 5 July 2023, the Ukrainians claimed that the Russians had attacked them with an arsenic based chemical weapon called lewisite in an artillery bombardment, which had previously been used during World War I.",1,wikipedia,0.9
"Dedicated to a wide array of topics, they contain many autobiographical elements and are stylistically close to works by Gogol and Russian realists of the 1840s and 1850s.",0,wikipedia,0.7
"Residents were warned to avoid windows and balconies. 18,000 guns were distributed amongst citizens during the first day of the battle, while the Ukrainian Territorial Defense Forces, normally kept in reserve, were activated upon the start of the attack.",1,wikipedia,0.7
The Historic Centre of Saint Petersburg and Related Groups of Monuments constitute a UNESCO World Heritage Site.,0,wikipedia,0.7
"According to the Malian military, more than 200 militants were killed in the operation, which reportedly involved more than 100 Russians.",1,wikipedia,0.7
"After the Soviet government relocated Ukraine's capital to Kyiv in 1934, Dynamo received patronage from the republican leadership.",0,wikipedia,0.7
The trapped Donbas Battalion withdrew from Ilovaisk on 30 August after negotiating an agreement with pro-Russian forces.,1,wikipedia,0.7
"Further Russian shelling struck the neighborhoods of Rusanivka and Kurenivka and the suburbs of Boyarka and Vyshneve, as well as the area around Kyiv International Airport.",1,wikipedia,0.7
"On 1 May 2023, the US updated its estimate of Wagner casualties, with 10,000 fighters killed and 40,000 wounded since 1 December 2022 alone, again in fighting for Bakhmut.",1,wikipedia,0.7
"After a full-scale Russian invasion in 2022, another approximately 3 million either fled or were killed, in total resulting in an 80% decrease of the Donbas population.",1,wikipedia,0.7
"On 11 January, Ukrainian presidential adviser Mykhailo Podolyak described the fighting ongoing at Bakhmut and Soledar as the bloodiest since the start of the invasion.",1,wikipedia,0.7
The new gallery includes a small reconstruction of Vladimir Tatlin's famous Monument to the Third International and a mixture of other avant-garde works by artists like Kazimir Malevich and Wassily Kandinsky.,0,wikipedia,0.7
"In 1816, the family moved to Kyrylivka (modern Shevchenkove), another village owned by Engelhardt, where Taras's father and grandfather had been born.",0,wikipedia,0.7
Junior Dynamo teams are colloquially known as Dynamo-2 and Dynamo-3.,0,wikipedia,0.7
"Many cannot move out of their apartments, especially if a family lives in a two-room apartment originally granted by the state during the Soviet era.",0,wikipedia,0.7
"He began openly criticizing the Russian Defense Ministry for mishandling the war against Ukraine, eventually saying that the Russian government's stated reasons for the invasion were lies.",1,wikipedia,0.9
"Mikołaj Rej, a Polish Renaissance poet and moralist, included the earliest known Polish recipe for pickled beetroots in his 1568 book, Life of an Honest Man.",0,wikipedia,0.7
"Video of recently evacuated Mariupol civilians speaking about desperate conditions in the city, endless shelling, mass casualties and people having mental breakdowns under siege, 8 April 2022, BBC News.",1,wikipedia,0.9
"A day later, Odesa was made the capital of Transnistria.",0,wikipedia,0.7
"Later that day, a six-year-old girl in Mariupol was killed by Russian shelling.",1,wikipedia,0.7
"Kovbasa: various kinds of smoked or boiled pork, beef or chicken sausage.",0,wikipedia,0.7
It is celebrated on the third Thursday of May.,0,wikipedia,0.7
"The Institute for the Study of War (ISW), an American think tank and war observer, reported that Russia had likely captured Soledar proper on 11 January and were conducting clearing operations by 12 January.",1,wikipedia,0.7
"Overnight and into 10 August, government forces launched an artillery barrage on Donetsk city.",1,wikipedia,0.7
"This castle has a commanding view of the historic city centre with its distinctive, green-domed churches and intricate architecture.",0,wikipedia,0.7
"On 4 April, a Russian Navy missile hit a Malta-based Dominica-flagged cargo ship, setting it on fire.",1,wikipedia,0.7
"The capture of Yakovlivka prompted Ukraine to deploy a reserve battalion to Soledar to reinforce the front line, according to an LPR military officer.",1,wikipedia,0.9
Due to the bleak performance of the national team Oleg Blokhin resigned and surprisingly signed with the recently established FC Moscow.,0,wikipedia,0.7
"When the capital of the Ukrainian SSR was moved from Kharkiv to Kyiv many new buildings were commissioned to give the city ""the gloss and polish of a capital"".",0,wikipedia,0.7
It has roots in Cumania and later the Golden Horde.,0,wikipedia,0.7
"Ukrainian ethnographer Mykola Markevych also mentioned dishes like borshch with fish, loaches with horseradish, and cutlets made of pike or crucian carp, which were all popular among Ukrainian Cossacks.",0,wikipedia,0.7
Construction work began on 20 November 2008 and was completed by October 2011.,0,wikipedia,0.7
Ukrainian troops tried to retake Yampil with the goal of breaking through to Siversk.,1,wikipedia,0.7
"Russian shelling had hit the cemetery the previous day, interrupting the burials and damaging a wall.",1,wikipedia,0.7
"Hours later, a Russian missile struck the Kyiv TV Tower, killing five people and injuring five others.",1,wikipedia,0.7
"By 20 May 2023, Bakhmut had been mostly captured by Russian forces, with the Ukrainian military claiming control of a small strip of the city proper along the T0504 highway.",1,wikipedia,0.7
"The next day, Ukrainian media reported that Russian army armoured forces equipped with 250 vehicles and artillery had entered Amvrosiivka, in what seemed to be the beginning of a major offensive on Mariupol.",1,wikipedia,0.9
The modern building was constructed by Fellner and Helmer in neo-baroque; its luxurious hall was built in the rococo style.,0,wikipedia,0.7
"In Turkey, they are usually classified as Kipchak Crimean Turks, while in Russia, they are usually classified as a group with origins in the Greek diaspora, a categorization challenged by Ukrainian historian V.",0,wikipedia,0.7
"It was also the basis for Living (2022), with a screenplay by Kazuo Ishiguro.",0,wikipedia,0.7
"In western Ukrainian regions, including Hutsul areas, dumplings are prepared by placing them on a cloth stretched over a pot of boiling water and steaming them until soft.",0,wikipedia,0.7
"On 2 August, prominent Ukrainian nationalist and military officer Andriy Zhovanyk died in battle near Soledar.",1,wikipedia,0.7
"On 21 April, Russian President Vladimir Putin ordered Russian troops not to storm the Azovstal steel plant, but to blockade it instead until the Ukrainian forces there ran out of supplies.",1,wikipedia,0.7
"During the early Ukrainian championships, another interesting rivalry developed with Chornomorets Odesa labelled the ""Miners vs.",0,wikipedia,0.7
"Six months later, a monument to the Russian military was erected in Bangui.",1,wikipedia,0.7
Weather conditions are quite variable all year round.,0,wikipedia,0.7
"After his exile in 1820 Pushkin's friends and family continually petitioned for his release, sending letters and meeting Emperor Alexander I and then Emperor Nicholas I on the heels of the Decembrist Uprising.",0,wikipedia,0.7
The Russian military confirmed that these men were Russian paratroopers and that they had been captured.,1,wikipedia,0.7
"On 27 February, pro-Russian militia, including Russian troops, seized control of government buildings in Crimea, and by 28 February, controlled other strategic locations such as the military airport in Sevastopol.",1,wikipedia,0.9
"On 10 May, Ukrainian authorities reported that over 1,000 Ukrainian soldiers, hundreds of them wounded, remained trapped inside the Azovstal steelworks.",1,wikipedia,0.7
"At night, a five-story building was also partially destroyed by Russian shelling.",1,wikipedia,0.7
"Since late May 2021, Mali has been ruled by a military junta that came into power following a coup d'état.",1,wikipedia,0.7
"The Ukraine national football team (Ukrainian: Збірна України з футболу, romanized: Zbirna Ukrainy z futbolu) represents Ukraine in men's international football, and is governed by the Ukrainian Association of Football, the governing body for football in Ukraine.",0,wikipedia,0.7
"For international military observers, the retreat was a surprise upset that dispelled notions of a quick Russian victory and showcased Ukraine's resilience, as well as unexpected weaknesses in the Russian military.",1,wikipedia,0.7
"According to restaurateur Yevhen Klopotenko, the Soviet era played a decisive role in the history of Ukrainian cuisine, and as many as 90% of all dishes considered Ukrainian today in fact have Soviet origins.",0,wikipedia,0.9
The variety of cereals is based on the local variety of crops.,0,wikipedia,0.7
"Borscht based on bone stock may be served Old Polish-style, with marrow from the bones.",0,wikipedia,0.7
"During the Russian invasion of Ukraine, a key Russian goal was to capture the Donbas region, consisting of Donetsk and Luhansk oblasts.",1,wikipedia,0.7
The city had a 40% increase in tourist visits in the early 2010s; the highest rate in Europe.,0,wikipedia,0.7
"The evacuating Soviets killed most of the prison population, with arriving Wehrmacht forces easily discovering evidence of the Soviet mass murders in the city committed by the NKVD and NKGB.",0,wikipedia,0.7
"Also significant are the new works of Boris Akunin (adventure fiction), Lyudmila Ulitskaya (the Daniel Stein, Interpreter, a novel about the Holocaust and interreligious relations), and Mikhali Shishkin (the novel Maidenhair).",0,wikipedia,0.7
The traditional dividing line between the east and the west is the Yenisei River valley.,0,wikipedia,0.7
"The next day, Russian forces were reported to have likely divided Ukrainian troops in the city into two and possibly even three pockets.",1,wikipedia,0.7
"In October 1843, he wrote his poem ""The Dug Grave"", after visiting recent excavations of burial mounds that many Ukrainians considered to be symbolic of the heroic past of the Cossacks.",0,wikipedia,0.7
"Private military companies are still illegal in Russia, but with their heavy participation in the war in Ukraine they have been legitimized by being referred by the Ministry of Defense and Russian government with the umbrella term of ""volunteer detachments"".",1,wikipedia,0.9
Near the Sea of Azov can be found the Donets Ridge and the Azov Upland.,0,wikipedia,0.7
The sour found some applications in Polish folk medicine as a cure for hangover and—mixed with honey—as a sore throat remedy.,0,wikipedia,0.7
"The main assault force consisted primarily of mercenaries from the Russian paramilitary organization Wagner Group, supported by regular Russian troops and reportedly Donetsk People's Republic militia elements.",1,wikipedia,0.7
"Its leading figures were Nikolay Ostrovsky, Alexander Fadeyev and other writers, who laid the foundations of this style.",0,wikipedia,0.7
"Beginning on 27 August 2014, vast amounts of military equipment and troops crossed the border from Russia into southern Donetsk Oblast.",1,wikipedia,0.9
"Early reports suggested a missile strike, but the Journal cited three veteran aviation experts who said that the visual evidence indicates a catastrophic structural failure not attributable to a missile.",1,wikipedia,0.9
Former rugby league heavyweights RC Lokomotiv have entered the same league as of 2011.,0,wikipedia,0.7
"Kantemir's works regularly expressed his admiration for Peter, most notably in his epic dedicated to the emperor entitled Petrida.",0,wikipedia,0.7
"In November, a Bayraktar drone on the Ukrainian-government-controlled side of the line of contact was used to destroy a separatist artillery piece on the other side, which was conducting a strike that levelled homes and wounded and killed Ukrainian soldiers.",1,wikipedia,0.9
An important part of Soviet food culture was represented by catering.,0,wikipedia,0.7
"The earliest account of a pilgrimage is The Pilgrimage of the Abbot Daniel, which records the journey of Daniel the Traveller to the Holy Land.",0,wikipedia,0.7
"Nagin previously fought with Wagner in Syria and Libya, and before that took part in the Second Chechen War and the Russo-Georgian War.",1,wikipedia,0.7
"According to the Security Service of Ukraine (SBU), Russian military officers are assigned the role of drill instructors for the recruits.",1,wikipedia,0.7
"He began to master the technique of oil painting, with The Model in the Pose of St.",0,wikipedia,0.7
"Denis Fonvizin, an author primarily of comedy, approached the subject of the Russian nobility with an angle of critique.",0,wikipedia,0.7
"On 12 January, Yevgeny Prigozhin claimed Wagner forces had killed around 500 Ukrainian soldiers in Soledar.",1,wikipedia,0.7
Lexical card catalog of the Ukrainian Institute of Language Studies has six million cards.,0,wikipedia,0.7
"Through the rest of July, shelling and small Russian assaults continued.",1,wikipedia,0.7
"He claimed Russia's defence ministry was more focused on internal power struggles and ""intrigues"" than actually fighting, and also accused the ministry of only providing his troops 10% of what was promised, resulting in high Wagner casualties.",1,wikipedia,0.9
The workforce involved in agriculture workforce was reported to be about 9.4% of the population in 2016.,0,wikipedia,0.7
"Many buildings found off the main streets of the inner city (behind the Stalinist façades of Tverskaya Street, for example) are also examples of bourgeois architecture typical of Tsarist times.",0,wikipedia,0.7
Hundreds of Russian and Ukrainian troops were killed in the Battle of Soledar.,1,wikipedia,0.7
"The Russian Invasion of Ukraine, February - December 2022: Destroying the Myth of Russian Invincibility.",1,wikipedia,0.7
"According to a later claim, the ""saboteurs"" could in fact have been Ukrainian soldiers from the 72nd Mechanized Brigade, who were mistaken for Russian troops.",1,wikipedia,0.9
"Ukrainian soldiers ignored a Russian ultimatum to surrender, deciding to fight to the end.",1,wikipedia,0.7
Mushroom-filled uszka are particularly associated with Polish Christmas Eve borscht.,0,wikipedia,0.7
"In a number of locations they issue their own newspapers, and live in ethnic enclaves (especially the generation of immigrants who started arriving in the early 1960s).",0,wikipedia,0.7
Wilson as one of the unhappiest in literary history.,0,wikipedia,0.7
Ukrainian troops launched another attack on insurgents in Mariupol on 9 May.,1,wikipedia,0.9
"Two Shining Souls: Jane Addams, Leo Tolstoy, and the Quest for Global Peace (Lanham: Lexington, 2012). 179 pp.",0,wikipedia,0.7
Military observers estimated that the average Ukrainian soldier's survival time in Bakhmut was 3 days.,1,wikipedia,0.7
"According to one report, the number of professional mercenaries killed may have reached 15,000, bringing the total number of Wagner personnel killed to approximately 40,000, with overall casualties – both killed and wounded – amounting to 80,000.",1,wikipedia,0.7
The city suffered severe damage and sustained many casualties over the course of the war.,1,wikipedia,0.9
In 1997 the Polish government asked the Ukrainian government to return these documents to Poland.,0,wikipedia,0.7
"Since July 1992, the director of the museum has been Mikhail Piotrovsky.",0,wikipedia,0.7
"Located in the north-central part of the country, it straddles both banks of the Dnieper River.",0,wikipedia,0.7
Reporting in the state-controlled media in Russia presented the invasion as a liberation mission and accused Ukrainian troops of attacking civilian targets in Mariupol.,1,wikipedia,0.9
"Such gastronationalistic claims are not necessarily mutually exclusive, as the soup's history predates the emergence in Eastern Europe of modern nation states with their ever-shifting borders.",0,wikipedia,0.7
"Petersburg, Smolny [Администрация Санкт-Петербурга 191060, СПб., Смольный]. 2001–2011.",0,wikipedia,0.7
"During the battle, Ukrainian soldiers gave Oleksandr Syrskyi, the officer commanding Ukrainian forces in Bakhmut, the nicknames ""Butcher"" and ""General 200"" due to Syrskyi's use of high casualty tactics during the battle.",1,wikipedia,0.7
"In 1904, Lysenko opened the Russian Empire's first Ukrainian music school in Kyiv (now the Lysenko State Music and Drama Institute).",0,wikipedia,0.7
"Typical food consumed by Zaporozhian Cossacks consisted of milled grains and flour and included traditional Ukrainian dishes such as kasha, kulish, teteria and solomakha.",0,wikipedia,0.7
The original and uncensored version of the drama was not staged until 2007.,0,wikipedia,0.7
"Two days later on 27 July, Russian shelling of Bakhmut killed three civilians and wounded three more.",1,wikipedia,0.7
"On 16 April, DPR troops seized a police station near Mariupol's beach and Russian forces were confirmed to have seized the Vessel Traffic Control Center at the port.",1,wikipedia,0.7
"One of the most instrumental groups for the recapture and subsequent defense of Mariupol was Azov Battalion, a Ukrainian volunteer militia, controversial for its openly neo-Nazi and ultranationalist members.",1,wikipedia,0.7
"On 16 January, The Kyiv Independent reported that Russian troops had full control over the administrative territory of Soledar, citing a Ukrainian military source.",1,wikipedia,0.9
"It may be served either in a soup bowl or—especially at dinner parties—as a hot beverage in a twin-handled cup, with a croquette or a filled pastry on the side.",0,wikipedia,0.7
They were traditionally prepared at the end of the winter to honor the rebirth of the new sun during Maslenitsa.,0,wikipedia,0.7
"Throughout the war, Odesa came under repeated attack.",1,wikipedia,0.9
"In 1203, Prince Rurik Rostislavich and his Kipchak allies captured and burned Kyiv.",0,wikipedia,0.7
"Pushkin published his first poem at the age of 15, and was widely recognized by the literary establishment by the time of his graduation from the Tsarskoye Selo Lyceum.",0,wikipedia,0.7
Four people were killed by shelling in Sviatoshynskyi.,1,wikipedia,0.7
"Manager Mircea Lucescu was named the 2014 Romania Coach of the Year, receiving the award for the fourth time.",0,wikipedia,0.7
"Meanwhile, Ukraine claimed that Wagner had suffered over 81,000 casualties during the battle with 21,000 killed.",1,wikipedia,0.7
"The next day, Donetsk Oblast governor Pavlo Kyrylenko said Russian forces had closed within 20 kilometers of Soledar, while shelling the settlement along with Bakhmut and Kostiantynivka.",1,wikipedia,0.7
A Russian airstrike also struck and damaged an occupied maternity clinic.,1,wikipedia,0.7
"The use of Ukrainian and Russian drones was criticised by France and Germany, while the United States pointed out that the Russia-led side has repeatedly violated agreements by the use of drones and howitzer artillery.",1,wikipedia,0.7
"The first shelling in Soledar began on 17 May, when Russian forces used drones and planes against Soledar, Klinove, and Vovchoiarivka.",1,wikipedia,0.7
"The Ukrainian General Staff claimed there were seventy-six artillery assaults on Soledar on 7 January alone, with the 46th Airmobile Brigade in charge of defending much of the settlement.",1,wikipedia,0.7
Ukrainian troops claimed that Wagner fighters were lightly armed and suffered heavy losses during daily assaults.,1,wikipedia,0.7
"In September 2022, Prigozhin officially admitted to founding and managing ""Wagner Group"" which started as a battalion participating from May 2014 on the Russian side in the War in Donbas.",1,wikipedia,0.9
In Donetsk there were no Ukrainian language schools and in Kyiv only a quarter of children went to Ukrainian language schools.,0,wikipedia,0.7
"The whole portion of Kyiv on the left bank of the Dnieper is generally referred to as the Left Bank (Лівий берег, Livyi bereh).",0,wikipedia,0.7
The catastrophic accident at the Chernobyl Nuclear Power Plant in 1986 occurred only 100 km (62 mi) north of the city.,0,wikipedia,0.7
"Critics blame the government for not enforcing conservation laws: in the last 12 years, more than 50 buildings with monument status were torn down, several of those dating back to the 17th century.",0,wikipedia,0.7
"Stasys Pundzevičius (1893–1980), Chief of the Lithuanian Air Force in the interwar Lithuania, was born in Odesa.",0,wikipedia,0.7
A new ceasefire was agreed to start on 8 March 2019.,1,wikipedia,0.7
"The ceasefire was broken multiple times on the night of 6–7 September, and into the day on 7 September.",1,wikipedia,0.7
"On 27 December 2017, as part of the Minsk deal, a prisoner swap was conducted with 73 Ukrainian soldiers exchanged for over 200 separatists.",1,wikipedia,0.7
"Tolstoy served as a second lieutenant in an artillery regiment during the Crimean War, recounted in his Sevastopol Sketches.",1,wikipedia,0.9
The last functioning synagogue was closed in the 1960s.,0,wikipedia,0.7
"During the battle, regular Russian forces managed to fortify the southern and northern fronts and train the 300,000 soldiers conscripted in the fall of 2022.",1,wikipedia,0.7
Ukrainian military officials were later said to have killed 150 Russian soldiers and destroyed 10 Russian vehicles.,1,wikipedia,0.9
"Deprived of its own dynasty, under the Golden Horde Kyiv was ruled according to yarlyks issued by Mongol rulers, but its princes only nominally controlled the city, barely appearing there.",0,wikipedia,0.7
"Before the fall of the Soviet Union, the Port of Odesa harbored the major Soviet cruise line Black Sea Shipping Company.",0,wikipedia,0.7
Valentin Pikul wrote about many different epochs and countries in an Alexander Dumas-inspired style.,0,wikipedia,0.7
"The price in February 2019 of a tram/trolleybus ticket was 5 UAH (the reduced fare ticket was 2.5 UAH, e.g. for students).",0,wikipedia,0.7
"In 1592, an outer earth rampart with 50 towers was erected around the city, including an area on the right bank of the Moscow River.",0,wikipedia,0.7
"Some Wagner members, including its alleged co-founder Dmitry Utkin, have been linked to the far-right, and the unit has been accused of war crimes including murder, torture, rape and robbery of civilians, as well as torturing and killing accused deserters.",1,wikipedia,0.7
"RIA FAN, a pro-Russian media outlet linked to Prighozin, reported on 21 January that Wagner planned to return the bodies of Ukrainian soldiers killed in Soledar back to Ukrainian authorities.",1,wikipedia,0.7
"The Presidium of the Supreme Soviet of the Soviet Union awarded Leningrad as a Hero City the Order of Lenin and the Gold Star medal ""for the heroic resistance of the city and tenacity of the survivors of the Siege"".",0,wikipedia,0.7
"Ukraine played their first match on 29 April 1992 against Hungary in Uzhhorod at the Avanhard Stadium, losing 3–1 with the sole Ukrainian goal scored by Ivan Hetsko.",0,wikipedia,0.7
"On 7 October, Russian forces advanced into the villages of Zaitseve and Opytne on the southern and southeastern outskirts of Bakhmut, while on 10 October, the UK Defence Ministry claimed that Russian troops advanced closer to Bakhmut.",1,wikipedia,0.7
Ukrainian officials allege that the missile was fired from Belarus.,1,wikipedia,0.7
"By 1716, the Swiss–Italian Domenico Trezzini had elaborated a project whereby the city centre would be on Vasilyevsky Island and shaped by a rectangular grid of canals.",0,wikipedia,0.7
"It included more than 20 academics from the USSR, who also expressed a desire to invite representatives of Western Ukraine: Smal-Stotskyi, Volodymyr Hnatiuk and Vasyl Simovych.",0,wikipedia,0.7
"In early 2023, the US was reported to be working with Egypt and the UAE to put pressure on the military leaders of Sudan and Libya to end their relationship with the Wagner Group and expel them from the countries.",1,wikipedia,0.7
"Its major members Alexander Yashin, Fyodor Abramov, Boris Mozhayev, Viktor Astafyev, Vladimir Soloukhin, Vasily Shukshin, Vasily Belov, and Valentin Rasputin clustered in the traditionalist and nationalist Nash Sovremennik literary magazine.",0,wikipedia,0.7
The All-Union coal mining society of Stakhanovite (Stakhanovets) had changed its name in July 1946 to Shakhtyor (Shakhter) and so did the Sports Society of Donbas Miners.,0,wikipedia,0.7
"In March 2023, during a visit to the city by president Putin, Marat Khusnullin assured that Russian forces did not use artillery fire against residential buildings during their advance on Mariupol, while accusing Ukrainian forces of destruction during their retreat.",1,wikipedia,0.7
"A large part of the population, especially the older generations, can speak Russian as a foreign language.",0,wikipedia,0.7
"The same year Taras Shevchenko was arrested, exiled for ten years, and banned for political reasons from writing and painting.",0,wikipedia,0.7
"There is a greenhouse taking up more than 5,000 square metres (53,820 square feet) of land.",0,wikipedia,0.7
"By February 2018, the number of separatist forces were estimated at 31,000, of which 80% (25,000) were estimated to be Donbas residents, 15% (≈5,000) military contractors from Russia and other countries, and 3% (900–1,000) regular Russian soldiers.",1,wikipedia,0.9
"On 27 July, Ukrainian troops entered the town of Shakhtarsk, fought the insurgents that had been occupying it, and captured it.",1,wikipedia,0.7
Another phonetic divergence between the Ukrainian and Russian languages is the pronunciation of Cyrillic ⟨в⟩ v/w.,0,wikipedia,0.7
"Syrniki are fried curd fritters, garnished with sour cream, jam, honey or applesauce.",0,wikipedia,0.7
"On 20 May, a Russian missile had hit and damaged the Soledar Salt Mine.",1,wikipedia,0.7
"Nikolai Leskov is best remembered for his shorter fiction and for his (together with Pavel Melnikov) unique skaz techniques, namely oral form of narrative stylization.",0,wikipedia,0.7
"He became acquainted with the Russian language through communication with household serfs and his nanny, Arina Rodionovna, whom he loved dearly and to whom he was more attached than to his own mother.",0,wikipedia,0.7
"He was appointed an honorary member of the Russian Academy of Sciences, from which he received an honorary certificate in February 1879.",0,wikipedia,0.7
"The Russian military claimed it had successfully destroyed the largest major oil terminal in the country, which was close to Kyiv.",1,wikipedia,0.7
"Ukrainian soldiers killed an Israeli-Ukrainian citizen at a checkpoint, mistaking him for a Chechen member of the Russian army.",1,wikipedia,0.7
"Shakhtar Donetsk is one of Ukraine's most popular football clubs, and is particularly favoured in the eastern Donbas region.",0,wikipedia,0.7
"Tensions erupted into the war in Donbas in early May, and during the unrest, militiamen of the separatist and Russian-backed DPR took control of the city and forced Ukrainian troops to abandon it during the first battle for Mariupol.",1,wikipedia,0.9
"According to Western analysts, the spike in Russian casualties around this time had led to fears that the upcoming Ukrainian counteroffensive, planned for later in the spring, may become ""carnage"".",1,wikipedia,0.7
Newspaper clippings about Fyodor Dostoevsky in the 20th Century Press Archives of the ZBW,0,wikipedia,0.7
"With increasing casualties on both sides in the war in Ukraine, the Russian government used the Wagner Group for recruitment.",1,wikipedia,0.9
"Between 6 and 31 January 2023, the Ukrainians claimed that 17,000 Russian soldiers lost their lives in the battle, which is nearly double the monthly average they had reported the previous year.",1,wikipedia,0.7
"On 20 July 1993, the United Nations Security Council denounced the decision of the Russian parliament.",0,wikipedia,0.7
"Ukrainian is gaining in popularity: in 2021, the share of residents speaking some Ukrainian at home has increased almost 5 times from 6% in 2015 to 29% in 2021.",0,wikipedia,0.7
"In response, Russia sent an additional 300 military instructors to the country to train government forces and provide support.",1,wikipedia,0.7
All of Kyiv Oblast's aviation capabilities had been moved to different locations a week before the invasion.,1,wikipedia,0.7
"During the night, a Russian military convoy attempted to set up a temporary base at Syrets Metro, which was met with a deadly confrontation with Ukrainian troops.",1,wikipedia,0.9
"On 10 March, Klitschko stated that nearly two million people, half of the population of Kyiv, had fled the city since the war began.",1,wikipedia,0.7
"On 19–20 October, Russian sources reported ongoing clashes in Soledar's industrial zone and that Russian troops had made minimal gains in the last five days.",1,wikipedia,0.7
"On the same day, Ramzan Kadyrov, the head of Chechnya, stated that Chechen soldiers were participating in the siege and had briefly entered Mariupol before retreating.",1,wikipedia,0.7
"The following day, Russian troops seized the southern part of Mariupol's port.",1,wikipedia,0.7
"On 1 June, Russian shelling killed one person and wounded two others.",1,wikipedia,0.7
"Following the gradual loss of Ukraine's autonomy, Kyiv experienced growing Russification in the 19th century, by means of Russian migration, administrative actions, and social modernization.",0,wikipedia,0.7
Its alcohol content will vary from maker to maker depending on the method of production.,0,wikipedia,0.7
"Kyiv's geographical relief contributed to its toponyms, such as Podil (""lower""), Pechersk (""caves""), and uzviz (a steep street, ""descent"").",0,wikipedia,0.7
